date,month,year,category,supersector,employment
11/30/1994,Nov,1994,Service-Providing,Information,32.1
12/31/1994,Dec,1994,Goods-Producing,Construction,53.9
12/31/1994,Dec,1994,Goods-Producing,Mining and Logging,2.1
12/31/1994,Dec,1994,Goods-Producing,Manufacturing,234.4
12/31/1994,Dec,1994,Government,State Government,60.3
12/31/1994,Dec,1994,Government,Federal Government,20.9
12/31/1994,Dec,1994,Government,Local Government,148.8
12/31/1994,Dec,1994,Service-Providing,Professional and Business Services,86.1
12/31/1994,Dec,1994,Service-Providing,Retail Trade,174.7
12/31/1994,Dec,1994,Service-Providing,Financial Activities,77.3
12/31/1994,Dec,1994,Service-Providing,Leisure and Hospitality,111.8
12/31/1994,Dec,1994,Service-Providing,Information,32.4
12/31/1994,Dec,1994,Service-Providing,Wholesale Trade,66.3
12/31/1994,Dec,1994,Service-Providing,Education and Health Services,162.5
12/31/1994,Dec,1994,Service-Providing,Transportation and Utilities,50.2
12/31/1994,Dec,1994,Service-Providing,Other Services,57
1/31/1995,Jan,1995,Goods-Producing,Construction,54.6
1/31/1995,Jan,1995,Goods-Producing,Manufacturing,235.2
1/31/1995,Jan,1995,Goods-Producing,Mining and Logging,2.1
1/31/1995,Jan,1995,Government,Federal Government,20.7
1/31/1995,Jan,1995,Government,Local Government,148.2
1/31/1995,Jan,1995,Government,State Government,60.3
1/31/1995,Jan,1995,Service-Providing,Professional and Business Services,86.9
1/31/1995,Jan,1995,Service-Providing,Transportation and Utilities,51.4
1/31/1995,Jan,1995,Service-Providing,Retail Trade,174.7
1/31/1995,Jan,1995,Service-Providing,Wholesale Trade,66.7
1/31/1995,Jan,1995,Service-Providing,Financial Activities,77.1
1/31/1995,Jan,1995,Service-Providing,Leisure and Hospitality,112.3
1/31/1995,Jan,1995,Service-Providing,Education and Health Services,164.5
1/31/1995,Jan,1995,Service-Providing,Other Services,56.9
1/31/1995,Jan,1995,Service-Providing,Information,32.4
2/28/1995,Feb,1995,Goods-Producing,Manufacturing,236.3
2/28/1995,Feb,1995,Goods-Producing,Mining and Logging,2.1
2/28/1995,Feb,1995,Goods-Producing,Construction,54.8
2/28/1995,Feb,1995,Government,State Government,60.2
2/28/1995,Feb,1995,Government,Local Government,148.8
2/28/1995,Feb,1995,Government,Federal Government,20.8
2/28/1995,Feb,1995,Service-Providing,Financial Activities,77.3
2/28/1995,Feb,1995,Service-Providing,Information,32.3
2/28/1995,Feb,1995,Service-Providing,Wholesale Trade,67.2
2/28/1995,Feb,1995,Service-Providing,Transportation and Utilities,51.6
2/28/1995,Feb,1995,Service-Providing,Professional and Business Services,87.6
2/28/1995,Feb,1995,Service-Providing,Leisure and Hospitality,113
2/28/1995,Feb,1995,Service-Providing,Other Services,57.1
2/28/1995,Feb,1995,Service-Providing,Education and Health Services,165.1
2/28/1995,Feb,1995,Service-Providing,Retail Trade,175.3
3/31/1995,Mar,1995,Goods-Producing,Construction,55.1
3/31/1995,Mar,1995,Goods-Producing,Mining and Logging,2.1
3/31/1995,Mar,1995,Goods-Producing,Manufacturing,237.2
3/31/1995,Mar,1995,Government,Local Government,148.8
3/31/1995,Mar,1995,Government,State Government,60.7
3/31/1995,Mar,1995,Government,Federal Government,20.7
3/31/1995,Mar,1995,Service-Providing,Financial Activities,77.2
3/31/1995,Mar,1995,Service-Providing,Wholesale Trade,67
3/31/1995,Mar,1995,Service-Providing,Professional and Business Services,88.1
3/31/1995,Mar,1995,Service-Providing,Transportation and Utilities,51.7
3/31/1995,Mar,1995,Service-Providing,Leisure and Hospitality,114
3/31/1995,Mar,1995,Service-Providing,Information,32.6
3/31/1995,Mar,1995,Service-Providing,Education and Health Services,165
3/31/1995,Mar,1995,Service-Providing,Other Services,57.1
3/31/1995,Mar,1995,Service-Providing,Retail Trade,175.7
4/30/1995,Apr,1995,Goods-Producing,Construction,54
4/30/1995,Apr,1995,Goods-Producing,Manufacturing,237.2
4/30/1995,Apr,1995,Goods-Producing,Mining and Logging,2.1
4/30/1995,Apr,1995,Government,State Government,60.8
4/30/1995,Apr,1995,Government,Federal Government,20.7
4/30/1995,Apr,1995,Government,Local Government,148.3
4/30/1995,Apr,1995,Service-Providing,Education and Health Services,165.8
4/30/1995,Apr,1995,Service-Providing,Leisure and Hospitality,114.3
4/30/1995,Apr,1995,Service-Providing,Retail Trade,175.3
4/30/1995,Apr,1995,Service-Providing,Other Services,56.9
4/30/1995,Apr,1995,Service-Providing,Transportation and Utilities,51.5
4/30/1995,Apr,1995,Service-Providing,Wholesale Trade,66.7
4/30/1995,Apr,1995,Service-Providing,Financial Activities,77.4
4/30/1995,Apr,1995,Service-Providing,Information,32.3
4/30/1995,Apr,1995,Service-Providing,Professional and Business Services,88.1
5/31/1995,May,1995,Goods-Producing,Construction,52.9
5/31/1995,May,1995,Goods-Producing,Manufacturing,237.5
5/31/1995,May,1995,Goods-Producing,Mining and Logging,2.1
5/31/1995,May,1995,Government,Local Government,148.1
5/31/1995,May,1995,Government,Federal Government,20.7
5/31/1995,May,1995,Government,State Government,61.1
5/31/1995,May,1995,Service-Providing,Professional and Business Services,87.7
5/31/1995,May,1995,Service-Providing,Financial Activities,77.4
5/31/1995,May,1995,Service-Providing,Wholesale Trade,67
5/31/1995,May,1995,Service-Providing,Information,32.8
5/31/1995,May,1995,Service-Providing,Leisure and Hospitality,115.1
5/31/1995,May,1995,Service-Providing,Other Services,56.6
5/31/1995,May,1995,Service-Providing,Education and Health Services,164.9
5/31/1995,May,1995,Service-Providing,Retail Trade,175.3
5/31/1995,May,1995,Service-Providing,Transportation and Utilities,51.4
6/30/1995,Jun,1995,Goods-Producing,Construction,54.1
6/30/1995,Jun,1995,Goods-Producing,Mining and Logging,2.1
6/30/1995,Jun,1995,Goods-Producing,Manufacturing,237
6/30/1995,Jun,1995,Government,State Government,61.5
6/30/1995,Jun,1995,Government,Federal Government,20.7
6/30/1995,Jun,1995,Government,Local Government,148.7
6/30/1995,Jun,1995,Service-Providing,Leisure and Hospitality,115
6/30/1995,Jun,1995,Service-Providing,Wholesale Trade,66.8
6/30/1995,Jun,1995,Service-Providing,Retail Trade,175.8
6/30/1995,Jun,1995,Service-Providing,Professional and Business Services,88.3
6/30/1995,Jun,1995,Service-Providing,Transportation and Utilities,50.9
6/30/1995,Jun,1995,Service-Providing,Financial Activities,77.5
6/30/1995,Jun,1995,Service-Providing,Other Services,56.8
6/30/1995,Jun,1995,Service-Providing,Information,32.9
6/30/1995,Jun,1995,Service-Providing,Education and Health Services,167.3
7/31/1995,Jul,1995,Goods-Producing,Manufacturing,237.1
7/31/1995,Jul,1995,Goods-Producing,Construction,54.7
7/31/1995,Jul,1995,Goods-Producing,Mining and Logging,2
7/31/1995,Jul,1995,Government,Local Government,148.2
7/31/1995,Jul,1995,Government,Federal Government,20.8
7/31/1995,Jul,1995,Government,State Government,61
7/31/1995,Jul,1995,Service-Providing,Other Services,57
7/31/1995,Jul,1995,Service-Providing,Retail Trade,175.7
7/31/1995,Jul,1995,Service-Providing,Transportation and Utilities,51.3
7/31/1995,Jul,1995,Service-Providing,Wholesale Trade,67.3
7/31/1995,Jul,1995,Service-Providing,Financial Activities,77.8
7/31/1995,Jul,1995,Service-Providing,Education and Health Services,166.6
7/31/1995,Jul,1995,Service-Providing,Leisure and Hospitality,116.5
7/31/1995,Jul,1995,Service-Providing,Information,32.6
7/31/1995,Jul,1995,Service-Providing,Professional and Business Services,88.9
8/31/1995,Aug,1995,Goods-Producing,Mining and Logging,2.1
8/31/1995,Aug,1995,Goods-Producing,Construction,55.6
8/31/1995,Aug,1995,Goods-Producing,Manufacturing,236.5
8/31/1995,Aug,1995,Government,Local Government,148.2
8/31/1995,Aug,1995,Government,Federal Government,20.8
8/31/1995,Aug,1995,Government,State Government,61.7
8/31/1995,Aug,1995,Service-Providing,Leisure and Hospitality,117
8/31/1995,Aug,1995,Service-Providing,Information,32.9
8/31/1995,Aug,1995,Service-Providing,Education and Health Services,167.4
8/31/1995,Aug,1995,Service-Providing,Retail Trade,176.2
8/31/1995,Aug,1995,Service-Providing,Wholesale Trade,68.6
8/31/1995,Aug,1995,Service-Providing,Other Services,57.1
8/31/1995,Aug,1995,Service-Providing,Financial Activities,78
8/31/1995,Aug,1995,Service-Providing,Professional and Business Services,89.9
8/31/1995,Aug,1995,Service-Providing,Transportation and Utilities,51.4
9/30/1995,Sep,1995,Goods-Producing,Manufacturing,237
9/30/1995,Sep,1995,Goods-Producing,Construction,55.9
9/30/1995,Sep,1995,Goods-Producing,Mining and Logging,2.1
9/30/1995,Sep,1995,Government,Federal Government,20.8
9/30/1995,Sep,1995,Government,Local Government,148.5
9/30/1995,Sep,1995,Government,State Government,61.1
9/30/1995,Sep,1995,Service-Providing,Wholesale Trade,67.6
9/30/1995,Sep,1995,Service-Providing,Financial Activities,78.1
9/30/1995,Sep,1995,Service-Providing,Transportation and Utilities,51.3
9/30/1995,Sep,1995,Service-Providing,Education and Health Services,166
9/30/1995,Sep,1995,Service-Providing,Other Services,57.1
9/30/1995,Sep,1995,Service-Providing,Professional and Business Services,90.5
9/30/1995,Sep,1995,Service-Providing,Information,32.7
9/30/1995,Sep,1995,Service-Providing,Retail Trade,176.9
9/30/1995,Sep,1995,Service-Providing,Leisure and Hospitality,118.1
10/31/1995,Oct,1995,Goods-Producing,Construction,56.5
10/31/1995,Oct,1995,Goods-Producing,Manufacturing,235.5
10/31/1995,Oct,1995,Goods-Producing,Mining and Logging,2
10/31/1995,Oct,1995,Government,State Government,61
10/31/1995,Oct,1995,Government,Local Government,149.2
10/31/1995,Oct,1995,Government,Federal Government,20.7
10/31/1995,Oct,1995,Service-Providing,Education and Health Services,169.2
10/31/1995,Oct,1995,Service-Providing,Financial Activities,78.3
10/31/1995,Oct,1995,Service-Providing,Information,32.6
10/31/1995,Oct,1995,Service-Providing,Transportation and Utilities,51.3
10/31/1995,Oct,1995,Service-Providing,Leisure and Hospitality,118.1
10/31/1995,Oct,1995,Service-Providing,Wholesale Trade,67.2
10/31/1995,Oct,1995,Service-Providing,Other Services,57.2
10/31/1995,Oct,1995,Service-Providing,Professional and Business Services,90.6
10/31/1995,Oct,1995,Service-Providing,Retail Trade,177.2
11/30/1995,Nov,1995,Goods-Producing,Manufacturing,235.8
11/30/1995,Nov,1995,Goods-Producing,Construction,56.8
11/30/1995,Nov,1995,Goods-Producing,Mining and Logging,2
11/30/1995,Nov,1995,Government,Federal Government,20.7
11/30/1995,Nov,1995,Government,State Government,61.4
11/30/1995,Nov,1995,Government,Local Government,148.9
11/30/1995,Nov,1995,Service-Providing,Professional and Business Services,91.2
11/30/1995,Nov,1995,Service-Providing,Wholesale Trade,67.5
11/30/1995,Nov,1995,Service-Providing,Retail Trade,177.7
11/30/1995,Nov,1995,Service-Providing,Leisure and Hospitality,118.5
11/30/1995,Nov,1995,Service-Providing,Information,33
11/30/1995,Nov,1995,Service-Providing,Other Services,57.3
11/30/1995,Nov,1995,Service-Providing,Financial Activities,78.6
11/30/1995,Nov,1995,Service-Providing,Transportation and Utilities,51.2
11/30/1995,Nov,1995,Service-Providing,Education and Health Services,169.6
12/31/1995,Dec,1995,Goods-Producing,Mining and Logging,2.1
12/31/1995,Dec,1995,Goods-Producing,Construction,57.5
12/31/1995,Dec,1995,Goods-Producing,Manufacturing,237.1
12/31/1995,Dec,1995,Government,Federal Government,20.5
12/31/1995,Dec,1995,Government,Local Government,149.4
12/31/1995,Dec,1995,Government,State Government,60.9
12/31/1995,Dec,1995,Service-Providing,Retail Trade,177.8
12/31/1995,Dec,1995,Service-Providing,Information,33.1
12/31/1995,Dec,1995,Service-Providing,Professional and Business Services,91.9
12/31/1995,Dec,1995,Service-Providing,Other Services,55.6
12/31/1995,Dec,1995,Service-Providing,Transportation and Utilities,51.5
12/31/1995,Dec,1995,Service-Providing,Wholesale Trade,67.9
12/31/1995,Dec,1995,Service-Providing,Education and Health Services,170.3
12/31/1995,Dec,1995,Service-Providing,Financial Activities,79
12/31/1995,Dec,1995,Service-Providing,Leisure and Hospitality,119.6
1/31/1996,Jan,1996,Goods-Producing,Construction,57.4
1/31/1996,Jan,1996,Goods-Producing,Mining and Logging,2.1
1/31/1996,Jan,1996,Goods-Producing,Manufacturing,235.1
1/31/1996,Jan,1996,Government,Federal Government,20.5
1/31/1996,Jan,1996,Government,Local Government,150.7
1/31/1996,Jan,1996,Government,State Government,60.8
1/31/1996,Jan,1996,Service-Providing,Financial Activities,79.7
1/31/1996,Jan,1996,Service-Providing,Leisure and Hospitality,120.2
1/31/1996,Jan,1996,Service-Providing,Retail Trade,179.8
1/31/1996,Jan,1996,Service-Providing,Education and Health Services,168.9
1/31/1996,Jan,1996,Service-Providing,Other Services,55.4
1/31/1996,Jan,1996,Service-Providing,Professional and Business Services,93.4
1/31/1996,Jan,1996,Service-Providing,Wholesale Trade,67.7
1/31/1996,Jan,1996,Service-Providing,Transportation and Utilities,51.1
1/31/1996,Jan,1996,Service-Providing,Information,33
2/28/1996,Feb,1996,Goods-Producing,Manufacturing,234.5
2/28/1996,Feb,1996,Goods-Producing,Mining and Logging,2.1
2/28/1996,Feb,1996,Goods-Producing,Construction,57.4
2/28/1996,Feb,1996,Government,Federal Government,20.6
2/28/1996,Feb,1996,Government,State Government,60.4
2/28/1996,Feb,1996,Government,Local Government,149.5
2/28/1996,Feb,1996,Service-Providing,Retail Trade,178.8
2/28/1996,Feb,1996,Service-Providing,Leisure and Hospitality,120.2
2/28/1996,Feb,1996,Service-Providing,Transportation and Utilities,51.2
2/28/1996,Feb,1996,Service-Providing,Other Services,55.3
2/28/1996,Feb,1996,Service-Providing,Wholesale Trade,67.6
2/28/1996,Feb,1996,Service-Providing,Professional and Business Services,94.9
2/28/1996,Feb,1996,Service-Providing,Financial Activities,79.8
2/28/1996,Feb,1996,Service-Providing,Information,33.2
2/28/1996,Feb,1996,Service-Providing,Education and Health Services,168.9
3/31/1996,Mar,1996,Goods-Producing,Manufacturing,234.9
3/31/1996,Mar,1996,Goods-Producing,Mining and Logging,2.1
3/31/1996,Mar,1996,Goods-Producing,Construction,57.9
3/31/1996,Mar,1996,Government,Federal Government,20.6
3/31/1996,Mar,1996,Government,State Government,61.2
3/31/1996,Mar,1996,Government,Local Government,150.4
3/31/1996,Mar,1996,Service-Providing,Financial Activities,80.2
3/31/1996,Mar,1996,Service-Providing,Information,33.3
3/31/1996,Mar,1996,Service-Providing,Other Services,55.4
3/31/1996,Mar,1996,Service-Providing,Retail Trade,178.7
3/31/1996,Mar,1996,Service-Providing,Wholesale Trade,67.8
3/31/1996,Mar,1996,Service-Providing,Professional and Business Services,94.9
3/31/1996,Mar,1996,Service-Providing,Leisure and Hospitality,120.5
3/31/1996,Mar,1996,Service-Providing,Education and Health Services,169.5
3/31/1996,Mar,1996,Service-Providing,Transportation and Utilities,51.3
4/30/1996,Apr,1996,Goods-Producing,Mining and Logging,2.2
4/30/1996,Apr,1996,Goods-Producing,Manufacturing,235
4/30/1996,Apr,1996,Goods-Producing,Construction,59.6
4/30/1996,Apr,1996,Government,Federal Government,21
4/30/1996,Apr,1996,Government,Local Government,150.3
4/30/1996,Apr,1996,Government,State Government,61.2
4/30/1996,Apr,1996,Service-Providing,Information,33.5
4/30/1996,Apr,1996,Service-Providing,Other Services,55.4
4/30/1996,Apr,1996,Service-Providing,Education and Health Services,169.3
4/30/1996,Apr,1996,Service-Providing,Financial Activities,80.6
4/30/1996,Apr,1996,Service-Providing,Retail Trade,179.3
4/30/1996,Apr,1996,Service-Providing,Professional and Business Services,95
4/30/1996,Apr,1996,Service-Providing,Leisure and Hospitality,120.5
4/30/1996,Apr,1996,Service-Providing,Transportation and Utilities,51.3
4/30/1996,Apr,1996,Service-Providing,Wholesale Trade,67.8
5/31/1996,May,1996,Goods-Producing,Mining and Logging,2.1
5/31/1996,May,1996,Goods-Producing,Manufacturing,233.5
5/31/1996,May,1996,Goods-Producing,Construction,58
5/31/1996,May,1996,Government,Federal Government,21.1
5/31/1996,May,1996,Government,Local Government,150.6
5/31/1996,May,1996,Government,State Government,61.1
5/31/1996,May,1996,Service-Providing,Wholesale Trade,67.7
5/31/1996,May,1996,Service-Providing,Professional and Business Services,95.4
5/31/1996,May,1996,Service-Providing,Retail Trade,179
5/31/1996,May,1996,Service-Providing,Transportation and Utilities,51.2
5/31/1996,May,1996,Service-Providing,Financial Activities,79.8
5/31/1996,May,1996,Service-Providing,Other Services,55.5
5/31/1996,May,1996,Service-Providing,Education and Health Services,169.9
5/31/1996,May,1996,Service-Providing,Information,33.5
5/31/1996,May,1996,Service-Providing,Leisure and Hospitality,120.4
6/30/1996,Jun,1996,Goods-Producing,Manufacturing,232.9
6/30/1996,Jun,1996,Goods-Producing,Construction,58.3
6/30/1996,Jun,1996,Goods-Producing,Mining and Logging,2.1
6/30/1996,Jun,1996,Government,Local Government,150.9
6/30/1996,Jun,1996,Government,State Government,61
6/30/1996,Jun,1996,Government,Federal Government,21.1
6/30/1996,Jun,1996,Service-Providing,Transportation and Utilities,50.9
6/30/1996,Jun,1996,Service-Providing,Other Services,55.6
6/30/1996,Jun,1996,Service-Providing,Financial Activities,79.8
6/30/1996,Jun,1996,Service-Providing,Education and Health Services,170.6
6/30/1996,Jun,1996,Service-Providing,Retail Trade,179
6/30/1996,Jun,1996,Service-Providing,Professional and Business Services,94.9
6/30/1996,Jun,1996,Service-Providing,Information,33.5
6/30/1996,Jun,1996,Service-Providing,Wholesale Trade,67.7
6/30/1996,Jun,1996,Service-Providing,Leisure and Hospitality,121.1
7/31/1996,Jul,1996,Goods-Producing,Mining and Logging,2.1
7/31/1996,Jul,1996,Goods-Producing,Manufacturing,232.4
7/31/1996,Jul,1996,Goods-Producing,Construction,58.1
7/31/1996,Jul,1996,Government,Federal Government,21.1
7/31/1996,Jul,1996,Government,State Government,62.4
7/31/1996,Jul,1996,Government,Local Government,152
7/31/1996,Jul,1996,Service-Providing,Transportation and Utilities,51.5
7/31/1996,Jul,1996,Service-Providing,Leisure and Hospitality,121
7/31/1996,Jul,1996,Service-Providing,Wholesale Trade,65.9
7/31/1996,Jul,1996,Service-Providing,Information,33.9
7/31/1996,Jul,1996,Service-Providing,Financial Activities,80.6
7/31/1996,Jul,1996,Service-Providing,Education and Health Services,170.2
7/31/1996,Jul,1996,Service-Providing,Retail Trade,180.5
7/31/1996,Jul,1996,Service-Providing,Professional and Business Services,96.1
7/31/1996,Jul,1996,Service-Providing,Other Services,55.6
8/31/1996,Aug,1996,Goods-Producing,Mining and Logging,2
8/31/1996,Aug,1996,Goods-Producing,Manufacturing,233.3
8/31/1996,Aug,1996,Goods-Producing,Construction,57.8
8/31/1996,Aug,1996,Government,Local Government,151.2
8/31/1996,Aug,1996,Government,State Government,61.3
8/31/1996,Aug,1996,Government,Federal Government,21.2
8/31/1996,Aug,1996,Service-Providing,Other Services,55.5
8/31/1996,Aug,1996,Service-Providing,Transportation and Utilities,51.5
8/31/1996,Aug,1996,Service-Providing,Education and Health Services,170.6
8/31/1996,Aug,1996,Service-Providing,Leisure and Hospitality,121.1
8/31/1996,Aug,1996,Service-Providing,Professional and Business Services,96.6
8/31/1996,Aug,1996,Service-Providing,Information,33.8
8/31/1996,Aug,1996,Service-Providing,Wholesale Trade,70.1
8/31/1996,Aug,1996,Service-Providing,Retail Trade,181.3
8/31/1996,Aug,1996,Service-Providing,Financial Activities,80.7
9/30/1996,Sep,1996,Goods-Producing,Mining and Logging,2.1
9/30/1996,Sep,1996,Goods-Producing,Construction,58.5
9/30/1996,Sep,1996,Goods-Producing,Manufacturing,235.2
9/30/1996,Sep,1996,Government,State Government,61.2
9/30/1996,Sep,1996,Government,Local Government,150.6
9/30/1996,Sep,1996,Government,Federal Government,21
9/30/1996,Sep,1996,Service-Providing,Information,34.1
9/30/1996,Sep,1996,Service-Providing,Professional and Business Services,97
9/30/1996,Sep,1996,Service-Providing,Financial Activities,79.5
9/30/1996,Sep,1996,Service-Providing,Retail Trade,179.8
9/30/1996,Sep,1996,Service-Providing,Transportation and Utilities,51.7
9/30/1996,Sep,1996,Service-Providing,Wholesale Trade,66.9
9/30/1996,Sep,1996,Service-Providing,Leisure and Hospitality,120.2
9/30/1996,Sep,1996,Service-Providing,Education and Health Services,170.3
9/30/1996,Sep,1996,Service-Providing,Other Services,55.7
10/31/1996,Oct,1996,Goods-Producing,Manufacturing,236.1
10/31/1996,Oct,1996,Goods-Producing,Construction,58.4
10/31/1996,Oct,1996,Goods-Producing,Mining and Logging,2.1
10/31/1996,Oct,1996,Government,State Government,61.5
10/31/1996,Oct,1996,Government,Federal Government,20.8
10/31/1996,Oct,1996,Government,Local Government,151.1
10/31/1996,Oct,1996,Service-Providing,Other Services,54.3
10/31/1996,Oct,1996,Service-Providing,Retail Trade,180
10/31/1996,Oct,1996,Service-Providing,Education and Health Services,173.5
10/31/1996,Oct,1996,Service-Providing,Wholesale Trade,68.6
10/31/1996,Oct,1996,Service-Providing,Leisure and Hospitality,120.8
10/31/1996,Oct,1996,Service-Providing,Transportation and Utilities,52.3
10/31/1996,Oct,1996,Service-Providing,Professional and Business Services,97.3
10/31/1996,Oct,1996,Service-Providing,Information,34.6
10/31/1996,Oct,1996,Service-Providing,Financial Activities,79.8
11/30/1996,Nov,1996,Goods-Producing,Mining and Logging,2
11/30/1996,Nov,1996,Goods-Producing,Manufacturing,236.7
11/30/1996,Nov,1996,Goods-Producing,Construction,58.4
11/30/1996,Nov,1996,Government,Federal Government,20.7
11/30/1996,Nov,1996,Government,Local Government,151.2
11/30/1996,Nov,1996,Government,State Government,61.4
11/30/1996,Nov,1996,Service-Providing,Transportation and Utilities,52.4
11/30/1996,Nov,1996,Service-Providing,Retail Trade,180
11/30/1996,Nov,1996,Service-Providing,Education and Health Services,174
11/30/1996,Nov,1996,Service-Providing,Professional and Business Services,98
11/30/1996,Nov,1996,Service-Providing,Other Services,54.3
11/30/1996,Nov,1996,Service-Providing,Leisure and Hospitality,120.6
11/30/1996,Nov,1996,Service-Providing,Financial Activities,80.1
11/30/1996,Nov,1996,Service-Providing,Wholesale Trade,68.6
11/30/1996,Nov,1996,Service-Providing,Information,34.3
12/31/1996,Dec,1996,Goods-Producing,Mining and Logging,2
12/31/1996,Dec,1996,Goods-Producing,Construction,58.3
12/31/1996,Dec,1996,Goods-Producing,Manufacturing,237.3
12/31/1996,Dec,1996,Government,State Government,61.3
12/31/1996,Dec,1996,Government,Federal Government,20.7
12/31/1996,Dec,1996,Government,Local Government,151
12/31/1996,Dec,1996,Service-Providing,Financial Activities,80.2
12/31/1996,Dec,1996,Service-Providing,Professional and Business Services,98.8
12/31/1996,Dec,1996,Service-Providing,Leisure and Hospitality,120.4
12/31/1996,Dec,1996,Service-Providing,Retail Trade,180.7
12/31/1996,Dec,1996,Service-Providing,Other Services,54.5
12/31/1996,Dec,1996,Service-Providing,Transportation and Utilities,52.2
12/31/1996,Dec,1996,Service-Providing,Education and Health Services,173.6
12/31/1996,Dec,1996,Service-Providing,Information,34.5
12/31/1996,Dec,1996,Service-Providing,Wholesale Trade,68.2
1/31/1997,Jan,1997,Goods-Producing,Mining and Logging,2
1/31/1997,Jan,1997,Goods-Producing,Construction,57.6
1/31/1997,Jan,1997,Goods-Producing,Manufacturing,236.6
1/31/1997,Jan,1997,Government,Local Government,151.9
1/31/1997,Jan,1997,Government,Federal Government,20.4
1/31/1997,Jan,1997,Government,State Government,61.6
1/31/1997,Jan,1997,Service-Providing,Transportation and Utilities,52.3
1/31/1997,Jan,1997,Service-Providing,Financial Activities,79.8
1/31/1997,Jan,1997,Service-Providing,Professional and Business Services,98.9
1/31/1997,Jan,1997,Service-Providing,Information,33.9
1/31/1997,Jan,1997,Service-Providing,Wholesale Trade,68
1/31/1997,Jan,1997,Service-Providing,Retail Trade,181.9
1/31/1997,Jan,1997,Service-Providing,Leisure and Hospitality,120.6
1/31/1997,Jan,1997,Service-Providing,Other Services,54.7
1/31/1997,Jan,1997,Service-Providing,Education and Health Services,173.9
2/28/1997,Feb,1997,Goods-Producing,Construction,58.8
2/28/1997,Feb,1997,Goods-Producing,Manufacturing,235.6
2/28/1997,Feb,1997,Goods-Producing,Mining and Logging,2
2/28/1997,Feb,1997,Government,State Government,61.5
2/28/1997,Feb,1997,Government,Local Government,151.7
2/28/1997,Feb,1997,Government,Federal Government,20.5
2/28/1997,Feb,1997,Service-Providing,Professional and Business Services,99.9
2/28/1997,Feb,1997,Service-Providing,Wholesale Trade,67.8
2/28/1997,Feb,1997,Service-Providing,Transportation and Utilities,52.2
2/28/1997,Feb,1997,Service-Providing,Education and Health Services,174.2
2/28/1997,Feb,1997,Service-Providing,Other Services,54.6
2/28/1997,Feb,1997,Service-Providing,Retail Trade,181.4
2/28/1997,Feb,1997,Service-Providing,Leisure and Hospitality,120.6
2/28/1997,Feb,1997,Service-Providing,Information,33.8
2/28/1997,Feb,1997,Service-Providing,Financial Activities,80
3/31/1997,Mar,1997,Goods-Producing,Manufacturing,235.3
3/31/1997,Mar,1997,Goods-Producing,Mining and Logging,2.1
3/31/1997,Mar,1997,Goods-Producing,Construction,59.6
3/31/1997,Mar,1997,Government,State Government,61
3/31/1997,Mar,1997,Government,Federal Government,20.4
3/31/1997,Mar,1997,Government,Local Government,152.1
3/31/1997,Mar,1997,Service-Providing,Wholesale Trade,67.9
3/31/1997,Mar,1997,Service-Providing,Retail Trade,181.9
3/31/1997,Mar,1997,Service-Providing,Education and Health Services,174.7
3/31/1997,Mar,1997,Service-Providing,Information,34
3/31/1997,Mar,1997,Service-Providing,Leisure and Hospitality,120.8
3/31/1997,Mar,1997,Service-Providing,Other Services,54.8
3/31/1997,Mar,1997,Service-Providing,Professional and Business Services,98.8
3/31/1997,Mar,1997,Service-Providing,Financial Activities,80.2
3/31/1997,Mar,1997,Service-Providing,Transportation and Utilities,52.2
4/30/1997,Apr,1997,Goods-Producing,Manufacturing,237.4
4/30/1997,Apr,1997,Goods-Producing,Mining and Logging,2.1
4/30/1997,Apr,1997,Goods-Producing,Construction,59.7
4/30/1997,Apr,1997,Government,Federal Government,20.5
4/30/1997,Apr,1997,Government,Local Government,152.3
4/30/1997,Apr,1997,Government,State Government,61.2
4/30/1997,Apr,1997,Service-Providing,Information,34.4
4/30/1997,Apr,1997,Service-Providing,Transportation and Utilities,53.4
4/30/1997,Apr,1997,Service-Providing,Education and Health Services,175.2
4/30/1997,Apr,1997,Service-Providing,Other Services,54.6
4/30/1997,Apr,1997,Service-Providing,Professional and Business Services,98.5
4/30/1997,Apr,1997,Service-Providing,Financial Activities,80.1
4/30/1997,Apr,1997,Service-Providing,Retail Trade,180.9
4/30/1997,Apr,1997,Service-Providing,Wholesale Trade,68.2
4/30/1997,Apr,1997,Service-Providing,Leisure and Hospitality,120.3
5/31/1997,May,1997,Goods-Producing,Manufacturing,238.3
5/31/1997,May,1997,Goods-Producing,Mining and Logging,2.1
5/31/1997,May,1997,Goods-Producing,Construction,60.1
5/31/1997,May,1997,Government,Federal Government,20.5
5/31/1997,May,1997,Government,Local Government,152.4
5/31/1997,May,1997,Government,State Government,61.2
5/31/1997,May,1997,Service-Providing,Leisure and Hospitality,120.7
5/31/1997,May,1997,Service-Providing,Financial Activities,80.5
5/31/1997,May,1997,Service-Providing,Transportation and Utilities,53.3
5/31/1997,May,1997,Service-Providing,Education and Health Services,175.5
5/31/1997,May,1997,Service-Providing,Wholesale Trade,68.2
5/31/1997,May,1997,Service-Providing,Retail Trade,182.9
5/31/1997,May,1997,Service-Providing,Information,34.6
5/31/1997,May,1997,Service-Providing,Professional and Business Services,98.9
5/31/1997,May,1997,Service-Providing,Other Services,54.6
6/30/1997,Jun,1997,Goods-Producing,Mining and Logging,2.1
6/30/1997,Jun,1997,Goods-Producing,Manufacturing,239.1
